category,subcategory,item_group,item_name,unit,description,tags,source
Earthworks & Ground Improvement,Fill & Backfill Materials,Gravel,Gravel - 20mm gravel,cubic_meter,,earthworks;fill,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Earthworks & Ground Improvement,Fill & Backfill Materials,Gravel,Gravel - 40mm gravel,cubic_meter,,earthworks;fill,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Earthworks & Ground Improvement,Fill & Backfill Materials,Crushed Rock,Crushed Rock - Crusher run,cubic_meter,,earthworks;fill,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Earthworks & Ground Improvement,Fill & Backfill Materials,Crushed Rock,Crushed Rock - 20mm crushed rock,cubic_meter,,earthworks;fill,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Earthworks & Ground Improvement,Fill & Backfill Materials,Crushed Rock,Crushed Rock - 40mm crushed rock,cubic_meter,,earthworks;fill,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Earthworks & Ground Improvement,Fill & Backfill Materials,Topsoil,Topsoil - Screened topsoil,cubic_meter,,landscaping;soil,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Earthworks & Ground Improvement,Fill & Backfill Materials,Topsoil,Topsoil - Planting topsoil,cubic_meter,,landscaping;soil,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Earthworks & Ground Improvement,Geosynthetics & Stabilization,Geotextile,Geotextile - Nonwoven 150gsm,square_meter,,geosynthetics;stabilization,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Earthworks & Ground Improvement,Geosynthetics & Stabilization,Geotextile,Geotextile - Nonwoven 200gsm,square_meter,,geosynthetics;stabilization,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Earthworks & Ground Improvement,Geosynthetics & Stabilization,Geotextile,Geotextile - Nonwoven 300gsm,square_meter,,geosynthetics;stabilization,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Earthworks & Ground Improvement,Geosynthetics & Stabilization,Geotextile,Geotextile - Woven 200gsm,square_meter,,geosynthetics;stabilization,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Earthworks & Ground Improvement,Geosynthetics & Stabilization,Geogrid,Geogrid - 30/30 kN geogrid,square_meter,,geosynthetics;stabilization,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Earthworks & Ground Improvement,Geosynthetics & Stabilization,Geogrid,Geogrid - 40/40 kN geogrid,square_meter,,geosynthetics;stabilization,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Earthworks & Ground Improvement,Geosynthetics & Stabilization,Geogrid,Geogrid - 60/60 kN geogrid,square_meter,,geosynthetics;stabilization,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Earthworks & Ground Improvement,Geosynthetics & Stabilization,Geocell,Geocell - 100mm geocell,square_meter,,geosynthetics;stabilization,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Earthworks & Ground Improvement,Geosynthetics & Stabilization,Geocell,Geocell - 150mm geocell,square_meter,,geosynthetics;stabilization,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Earthworks & Ground Improvement,Geosynthetics & Stabilization,Geocell,Geocell - 200mm geocell,square_meter,,geosynthetics;stabilization,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Earthworks & Ground Improvement,Erosion Control,Erosion Control Blanket,Erosion Control Blanket - 400gsm blanket,square_meter,,erosion;temporary,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Earthworks & Ground Improvement,Erosion Control,Erosion Control Blanket,Erosion Control Blanket - 700gsm blanket,square_meter,,erosion;temporary,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Earthworks & Ground Improvement,Erosion Control,Silt Fence Fabric,Silt Fence Fabric - Standard silt fence fabric,square_meter,,erosion;temporary,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Earthworks & Ground Improvement,Erosion Control,Coir Logs,Coir Logs - Coir log 200mm,meter,,erosion;temporary,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Earthworks & Ground Improvement,Erosion Control,Coir Logs,Coir Logs - Coir log 300mm,meter,,erosion;temporary,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Substructure & Piling,Piling Materials,Precast Concrete Piles,Precast Concrete Piles - 250x250 pile,meter,,piling,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Substructure & Piling,Piling Materials,Precast Concrete Piles,Precast Concrete Piles - 300x300 pile,meter,,piling,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Substructure & Piling,Piling Materials,Precast Concrete Piles,Precast Concrete Piles - 350x350 pile,meter,,piling,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Substructure & Piling,Piling Materials,Precast Concrete Piles,Precast Concrete Piles - 400x400 pile,meter,,piling,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Substructure & Piling,Piling Materials,Steel H Piles,Steel H Piles - H200,meter,,piling,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Substructure & Piling,Piling Materials,Steel H Piles,Steel H Piles - H250,meter,,piling,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Substructure & Piling,Piling Materials,Steel H Piles,Steel H Piles - H300,meter,,piling,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Substructure & Piling,Piling Materials,Steel H Piles,Steel H Piles - H350,meter,,piling,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Substructure & Piling,Piling Materials,Steel Sheet Piles,Steel Sheet Piles - U-type sheet pile,meter,,piling,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Substructure & Piling,Piling Materials,Steel Sheet Piles,Steel Sheet Piles - Z-type sheet pile,meter,,piling,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Substructure & Piling,Piling Materials,Pile Shoes,Pile Shoes - Pile shoe 250,each,,piling,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Substructure & Piling,Piling Materials,Pile Shoes,Pile Shoes - Pile shoe 300,each,,piling,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Substructure & Piling,Piling Materials,Pile Shoes,Pile Shoes - Pile shoe 350,each,,piling,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Substructure & Piling,Piling Materials,Pile Shoes,Pile Shoes - Pile shoe 400,each,,piling,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Substructure & Piling,Foundation Ancillaries,Blinding Concrete,Blinding Concrete - Blinding concrete C10/12,cubic_meter,,foundation;concrete,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Ready-Mix Concrete,Concrete Grade,Concrete Grade - C15/20,cubic_meter,,concrete;ready-mix,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Ready-Mix Concrete,Concrete Grade,Concrete Grade - C20/25,cubic_meter,,concrete;ready-mix,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Ready-Mix Concrete,Concrete Grade,Concrete Grade - C25/30,cubic_meter,,concrete;ready-mix,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Ready-Mix Concrete,Concrete Grade,Concrete Grade - C30/37,cubic_meter,,concrete;ready-mix,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Ready-Mix Concrete,Concrete Grade,Concrete Grade - C35/45,cubic_meter,,concrete;ready-mix,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Ready-Mix Concrete,Concrete Grade,Concrete Grade - C40/50,cubic_meter,,concrete;ready-mix,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Ready-Mix Concrete,Concrete Grade,Concrete Grade - C45/55,cubic_meter,,concrete;ready-mix,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Ready-Mix Concrete,Concrete Grade,Concrete Grade - C50/60,cubic_meter,,concrete;ready-mix,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Cement & Admixtures,Cement,Cement - OPC 50kg,bag,,concrete,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Cement & Admixtures,Cement,Cement - Rapid hardening 50kg,bag,,concrete,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Cement & Admixtures,Cement,Cement - Blended cement 50kg,bag,,concrete,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Cement & Admixtures,Concrete Admixture,Concrete Admixture - Plasticizer,liter,,concrete,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Cement & Admixtures,Concrete Admixture,Concrete Admixture - Superplasticizer,liter,,concrete,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Cement & Admixtures,Concrete Admixture,Concrete Admixture - Retarder,liter,,concrete,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Cement & Admixtures,Concrete Admixture,Concrete Admixture - Accelerator,liter,,concrete,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Cement & Admixtures,Concrete Admixture,Concrete Admixture - Waterproofing admixture,liter,,concrete,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Reinforcement,Rebar,Rebar - 10mm,ton,,reinforcement,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Reinforcement,Rebar,Rebar - 12mm,ton,,reinforcement,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Reinforcement,Rebar,Rebar - 16mm,ton,,reinforcement,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Reinforcement,Rebar,Rebar - 20mm,ton,,reinforcement,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Reinforcement,Rebar,Rebar - 25mm,ton,,reinforcement,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Reinforcement,Rebar,Rebar - 32mm,ton,,reinforcement,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Reinforcement,Rebar,Rebar - 40mm,ton,,reinforcement,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Reinforcement,Welded Mesh,Welded Mesh - A142,sheet,,reinforcement,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Reinforcement,Welded Mesh,Welded Mesh - A193,sheet,,reinforcement,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Reinforcement,Welded Mesh,Welded Mesh - A252,sheet,,reinforcement,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Reinforcement,Welded Mesh,Welded Mesh - A393,sheet,,reinforcement,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Formwork,Formwork Plywood,Formwork Plywood - 12mm,sheet,,formwork,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Formwork,Formwork Plywood,Formwork Plywood - 18mm,sheet,,formwork,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Formwork,Formwork Plywood,Formwork Plywood - 21mm,sheet,,formwork,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Formwork,Formwork Accessories,Formwork Accessories - Tie rod 15mm,each,,formwork,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Formwork,Formwork Accessories,Formwork Accessories - Wing nut 15mm,each,,formwork,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Formwork,Formwork Accessories,Formwork Accessories - Cone 15mm,each,,formwork,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Concrete & Reinforcement,Formwork,Formwork Accessories,Formwork Accessories - Form oil 20L,each,,formwork,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Structural Sections,Universal Beams (UB),Universal Beams (UB) - 203x102x23,ton,,steel,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Structural Sections,Universal Beams (UB),Universal Beams (UB) - 254x146x31,ton,,steel,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Structural Sections,Universal Beams (UB),Universal Beams (UB) - 254x146x37,ton,,steel,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Structural Sections,Universal Beams (UB),Universal Beams (UB) - 305x165x40,ton,,steel,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Structural Sections,Universal Beams (UB),Universal Beams (UB) - 356x171x51,ton,,steel,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Structural Sections,Universal Beams (UB),Universal Beams (UB) - 406x178x60,ton,,steel,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Structural Sections,Universal Beams (UB),Universal Beams (UB) - 457x191x67,ton,,steel,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Structural Sections,Universal Beams (UB),Universal Beams (UB) - 533x210x82,ton,,steel,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Structural Sections,Universal Columns (UC),Universal Columns (UC) - 203x203x46,ton,,steel,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Structural Sections,Universal Columns (UC),Universal Columns (UC) - 254x254x73,ton,,steel,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Structural Sections,Universal Columns (UC),Universal Columns (UC) - 305x305x97,ton,,steel,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Structural Sections,Universal Columns (UC),Universal Columns (UC) - 356x368x129,ton,,steel,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Structural Sections,Universal Columns (UC),Universal Columns (UC) - 406x406x178,ton,,steel,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Structural Sections,Channels,Channels - 100x50,ton,,steel,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Structural Sections,Channels,Channels - 150x75,ton,,steel,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Structural Sections,Channels,Channels - 200x75,ton,,steel,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Structural Sections,Channels,Channels - 250x90,ton,,steel,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Structural Sections,Channels,Channels - 300x100,ton,,steel,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Structural Sections,Angles,Angles - 50x50x5,ton,,steel,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Structural Sections,Angles,Angles - 65x65x6,ton,,steel,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Structural Sections,Angles,Angles - 75x75x8,ton,,steel,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Structural Sections,Angles,Angles - 90x90x8,ton,,steel,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Structural Sections,Angles,Angles - 100x100x10,ton,,steel,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Structural Sections,Plates,Plates - 6mm,square_meter,,steel,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Structural Sections,Plates,Plates - 8mm,square_meter,,steel,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Structural Sections,Plates,Plates - 10mm,square_meter,,steel,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Structural Sections,Plates,Plates - 12mm,square_meter,,steel,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Structural Sections,Plates,Plates - 16mm,square_meter,,steel,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Structural Sections,Plates,Plates - 20mm,square_meter,,steel,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Fasteners & Welding,High Strength Bolts,High Strength Bolts - M12,box,,steel;fastener,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Fasteners & Welding,High Strength Bolts,High Strength Bolts - M16,box,,steel;fastener,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Structural Steel,Fasteners & Welding,High Strength Bolts,High Strength Bolts - M20,box,,steel;fastener,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
